product_id,name,category,price,in_stock,supplier
P001,Notebook A5,Office,2.49,True,Baltic Paper
P002,Ballpoint Pen Blue,Office,0.89,True,Riga Supplies
P003,Desk Lamp Mini,Electronics,18.5,False,Home Light
P004,Water Bottle 750ml,Lifestyle,7.2,True,Nordic Home
P005,USB-C Cable 1m,Electronics,6.99,True,Tech Bridge
P006,Coffee Mug Classic,Kitchen,4.75,True,Ceramica
P007,Sticky Notes Set,Office,3.1,True,Baltic Paper
P008,Wireless Mouse,Electronics,14.9,True,Tech Bridge
P009,Tote Bag Canvas,Lifestyle,5.5,False,Urban Basic
P010,Tea Box Herbal,Kitchen,6.4,True,Green Leaf
