product_id,name,category,price,supplier
P001,Notebook A5,Office,2.49,Baltic Paper
P002,Ballpoint Pen Blue,Office,0.89,Riga Supplies
P003,Desk Lamp Mini,Electronics,18.50,Home Light
P004,Water Bottle 750ml,Lifestyle,7.20,Nordic Home
P005,USB-C Cable 1m,Electronics,6.99,Tech Bridge
P006,Coffee Mug Classic,Kitchen,4.75,Ceramica
P007,Sticky Notes Set,Office,3.10,Baltic Paper
P008,Wireless Mouse,Electronics,14.90,Tech Bridge
P009,Tote Bag Canvas,Lifestyle,5.50,Urban Basic
P010,Tea Box Herbal,Kitchen,6.40,Green Leaf
